id;enterprise_id;status;enterprise;alias
1;41960;Organic;Cheese Steel;Wooden Ergonomic Steel Gloves
2;85546;Colombian Peso Unidad de Valor Real Bridge Handmade;online e-business;systems integrate
3;61585;invoice Gorgeous Cotton Chair Personal Loan Account;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors
4;58577;Data North Dakota;North Carolina Granite;Somalia Web revolutionize
5;96119;Dynamic black;yellow;Books Generic
6;68300;Handcrafted Plastic Shirt quantifying;wireless;hybrid
7;11816;Rupiah Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte
8;99050;infrastructures incentivize quantify;JSON Texas;bandwidth
9;75087;compress Fantastic Global;Buckinghamshire monetize;Direct
10;38920;Industrial;bypassing granular Usability;Applications Missouri deposit
